K,seed,episode,target_only,random_aug,similarity_only,evidential_oracle
10,0,0,0.626295804977417,0.6435086131095886,0.6418383717536926,0.6287543773651123
10,0,1,0.8080624938011169,0.8504533171653748,0.8294444680213928,0.8134176135063171
10,0,2,0.9644303321838379,0.9707835912704468,0.9703562259674072,0.9706199765205383
10,0,3,0.7723162174224854,0.7722041010856628,0.774634599685669,0.7725017070770264
10,0,4,0.6446688771247864,0.6467521786689758,0.6532800793647766,0.6483054757118225
10,1,0,0.813361406326294,0.8170155882835388,0.8144343495368958,0.8232067227363586
10,1,1,0.7858364582061768,0.7954905033111572,0.8093698024749756,0.8103538155555725
10,1,2,0.730933427810669,0.7307150363922119,0.719224750995636,0.7293098568916321
10,1,3,0.7448174357414246,0.7586824893951416,0.756483256816864,0.762140691280365
10,1,4,0.7614802718162537,0.7752988934516907,0.7677356004714966,0.7653687596321106
10,2,0,0.7429523468017578,0.7329923510551453,0.732941210269928,0.7323372960090637
10,2,1,0.7958168983459473,0.7932053208351135,0.802899181842804,0.7933534979820251
10,2,2,0.7457800507545471,0.7388941645622253,0.7418643832206726,0.7382557988166809
10,2,3,0.8782930374145508,0.880649983882904,0.8793274760246277,0.8819887042045593
10,2,4,0.7637466192245483,0.7655158042907715,0.7662546038627625,0.7656909227371216
10,3,0,0.7517048120498657,0.7385180592536926,0.7406501770019531,0.7402122020721436
10,3,1,0.6973000168800354,0.7071831226348877,0.7349083423614502,0.6986277103424072
10,3,2,0.7139654159545898,0.7074305415153503,0.7176604270935059,0.7161931991577148
10,3,3,0.7191905379295349,0.7185943126678467,0.720729410648346,0.7226471304893494
10,3,4,0.8580407500267029,0.8366599082946777,0.8533520102500916,0.8338747620582581
10,4,0,0.7305195927619934,0.7363341450691223,0.7367770671844482,0.7359015345573425
10,4,1,0.7771744132041931,0.7894451022148132,0.7881960272789001,0.7887997627258301
10,4,2,0.733544647693634,0.7652373313903809,0.7529879808425903,0.7635732293128967
10,4,3,0.6345062851905823,0.6367600560188293,0.6393347382545471,0.6358582973480225
10,4,4,0.767200767993927,0.7682441473007202,0.768619179725647,0.7683940529823303
20,0,0,0.660218358039856,0.6641532778739929,0.6524098515510559,0.6397697329521179
20,0,1,0.7178518772125244,0.7443016171455383,0.7624601125717163,0.735877275466919
20,0,2,0.9494359493255615,0.9484823942184448,0.9484307765960693,0.9482819437980652
20,0,3,0.7311012148857117,0.7277425527572632,0.7261836528778076,0.7284030914306641
20,0,4,0.6719702482223511,0.6768558025360107,0.6732844710350037,0.6742859482765198
20,1,0,0.6957685947418213,0.6857747435569763,0.6746847629547119,0.700742781162262
20,1,1,0.7709482312202454,0.7717552185058594,0.7665557265281677,0.7692416906356812
20,1,2,0.7185037732124329,0.7199475765228271,0.72617506980896,0.7255527377128601
20,1,3,0.6766306161880493,0.6858438849449158,0.6753596067428589,0.6826533079147339
20,1,4,0.705328643321991,0.6859517693519592,0.6809630393981934,0.6951397061347961
20,2,0,0.6521382331848145,0.6441081166267395,0.6516240239143372,0.6402115821838379
20,2,1,0.7872313857078552,0.7780493497848511,0.775295078754425,0.7804707884788513
20,2,2,0.7513915300369263,0.7253641486167908,0.7436192631721497,0.7491199374198914
20,2,3,0.7257945537567139,0.7234469056129456,0.7268806099891663,0.725227952003479
20,2,4,0.7728238105773926,0.7736397981643677,0.7761030197143555,0.7785371541976929
20,3,0,0.7126104235649109,0.7110088467597961,0.7137242555618286,0.7168108224868774
20,3,1,0.6987681984901428,0.6885884404182434,0.7023608684539795,0.6739876866340637
20,3,2,0.6737022399902344,0.6624518036842346,0.6792612075805664,0.664072573184967
20,3,3,0.6495807766914368,0.6674381494522095,0.655694305896759,0.6565210819244385
20,3,4,0.7948122024536133,0.7931626439094543,0.7930402755737305,0.7945259809494019
20,4,0,0.70100337266922,0.7070856690406799,0.6938691735267639,0.6906135082244873
20,4,1,0.6702159643173218,0.6579410433769226,0.6648198962211609,0.6701170802116394
20,4,2,0.656532883644104,0.6628357768058777,0.6581398844718933,0.6509571671485901
20,4,3,0.6467261910438538,0.642163872718811,0.6392646431922913,0.6376643180847168
20,4,4,0.6783422231674194,0.6718646287918091,0.6712594628334045,0.683170735836029
50,0,0,0.6509580016136169,0.6453933715820312,0.6575501561164856,0.650553286075592
50,0,1,0.5955457091331482,0.5846239328384399,0.5810785889625549,0.6035966277122498
50,0,2,0.6409302353858948,0.7197034955024719,0.6976137757301331,0.6245253682136536
50,0,3,0.671120822429657,0.6827409863471985,0.6424539685249329,0.6585881114006042
50,0,4,0.6010048985481262,0.6397945880889893,0.6205229163169861,0.614229142665863
50,1,0,0.6419687271118164,0.6636906266212463,0.6591725945472717,0.6576521396636963
50,1,1,0.6052556037902832,0.5914921164512634,0.6034913659095764,0.613154411315918
50,1,2,0.629392147064209,0.6231431365013123,0.6269063353538513,0.6250180602073669
50,1,3,0.6519168615341187,0.650849461555481,0.6429729461669922,0.6380550861358643
50,1,4,0.5990657806396484,0.5742238759994507,0.5638313889503479,0.5750529766082764
50,2,0,0.606622576713562,0.6261804699897766,0.613358199596405,0.6243513226509094
50,2,1,0.6985321640968323,0.7330560088157654,0.6965368986129761,0.7068176865577698
50,2,2,0.727735161781311,0.7294077277183533,0.7219741344451904,0.7290992736816406
50,2,3,0.5990003943443298,0.5958806872367859,0.5928423404693604,0.6481308937072754
50,2,4,0.636497974395752,0.6433697938919067,0.6467340588569641,0.6624208688735962
50,3,0,0.6927605867385864,0.6960240006446838,0.6880139708518982,0.6921709775924683
50,3,1,0.6174553632736206,0.625762403011322,0.6158413887023926,0.6197460293769836
50,3,2,0.6455415487289429,0.6240511536598206,0.6378817558288574,0.6390537619590759
50,3,3,0.6134372353553772,0.5817521214485168,0.5866004228591919,0.5698813199996948
50,3,4,0.6516091823577881,0.6698096990585327,0.677360475063324,0.6714388728141785
50,4,0,0.6459560394287109,0.6381548047065735,0.6421118378639221,0.6377469897270203
50,4,1,0.6588137745857239,0.6068323850631714,0.615198016166687,0.6279063820838928
50,4,2,0.608210027217865,0.598335325717926,0.6295385360717773,0.6078994870185852
50,4,3,0.6363423466682434,0.6300969123840332,0.6272547245025635,0.6124670505523682
50,4,4,0.6088207960128784,0.6131319403648376,0.607550323009491,0.6149141788482666
