seed,condition,K5,HIA_Hou_K5,CYP2C9_Substrate_CarbonMangels_K5,K10,HIA_Hou_K10,CYP2C9_Substrate_CarbonMangels_K10,K20,HIA_Hou_K20,CYP2C9_Substrate_CarbonMangels_K20,K50,HIA_Hou_K50,CYP2C9_Substrate_CarbonMangels_K50
0,maml_mlp,0.6607141851491525,0.8404671316846333,0.4809612386136718,0.6679658148437567,0.861519302615193,0.4744123270723204,0.6798047318783094,0.8681272509003601,0.4914822128562586,0.6780580901809633,0.8636742800397219,0.4924419003222047
0,maml_static_gnn,0.6394015586492111,0.7798562671739591,0.4989468501244632,0.6493640549519551,0.7925280199252802,0.5062000899786301,0.6506228435256918,0.7946878751500601,0.5065578119013234,0.6545900265291789,0.7924528301886792,0.5167272228696784
0,maml_dense_gsl,0.6293527485275656,0.7699482139082646,0.4887572831468665,0.6360612037159855,0.7806281998062821,0.4914942076256889,0.6484766198618915,0.7911764705882354,0.5057767691355477,0.6504600384543406,0.7923336643495532,0.508586412559128
0,maml_hopfield_nogating,0.6183950192715382,0.7290213485521032,0.507768689990973,0.6246814330693596,0.7437110834371109,0.5056517827016084,0.6379849598184643,0.7633553421368547,0.5126145775000738,0.6370018092996654,0.760635551142006,0.513368067457325
0,maml_hopfield_evid,0.6474821719474144,0.7966603255125766,0.49830401838225236,0.6483089183271028,0.7978691019786911,0.49874873467551456,0.656006880779958,0.8018307322929171,0.5101830292669987,0.6692435521446536,0.8178351539225422,0.5206519503667649
1,maml_mlp,0.6395285688503045,0.7769234834073134,0.5021336542932955,0.6330311031982956,0.7894285318942853,0.47663367450230576,0.637012037123494,0.7797418967587035,0.4942821774882844,0.6521310468865062,0.7923336643495531,0.5119284294234593
1,maml_static_gnn,0.6139768006740307,0.7596438385119425,0.4683097628361189,0.6122531249661021,0.7511553895115539,0.4733508604206501,0.6273782424048637,0.7645858343337335,0.49017065047599395,0.6330821860944731,0.7714001986097319,0.49476417357921443
1,maml_dense_gsl,0.6426708004664692,0.7891302050306489,0.4962113959022896,0.6470094637548489,0.7889857478898575,0.5050331796198403,0.655338883025874,0.8012905162064826,0.5093872498452652,0.6621646394617944,0.8095729890764647,0.5147562898471242
1,maml_hopfield_nogating,0.6277434123933954,0.7937011202705558,0.46178570451623496,0.6319167488506038,0.786384391863844,0.4774491058373636,0.628436944202067,0.8004501800720287,0.4564237083321052,0.633395927213829,0.7956703078450844,0.47112154658257355
1,maml_hopfield_evid,0.6393305812443578,0.7590889875290636,0.519572174959652,0.6409343108300072,0.760287809602878,0.5215808120571364,0.6597589912796149,0.7880552220888356,0.5314627604703941,0.6494855218924444,0.7696127110228402,0.5293583327620485
2,maml_mlp,0.6342928434822299,0.805432255337138,0.4631534316273217,0.6494145091894972,0.8177667081776671,0.4810623102013272,0.6484008251536637,0.8090036014405761,0.48779804886675115,0.6500930158527655,0.8156107249255213,0.4845753067800096
2,maml_static_gnn,0.645693906693905,0.8084707250052842,0.4829170883825259,0.6461176292353792,0.8129514321295145,0.479283826341244,0.6457741988893764,0.8086134453781513,0.48293495240060136,0.6447901974517312,0.8155710029791461,0.4740093919243161
2,maml_dense_gsl,0.6070644282643088,0.7037888395688016,0.5103400169598161,0.6024084486581387,0.6994603569946036,0.5053565403216737,0.6026464774067251,0.6894657863145258,0.5158271684989242,0.6009708236898509,0.6929096325719962,0.5090320148077055
2,maml_hopfield_nogating,0.6371138005243989,0.7878091312618897,0.48641846978690817,0.6333486546478213,0.7954061159540612,0.4712911933415813,0.6343996676450651,0.7834033613445378,0.4853959739455923,0.6353516802823098,0.780695134061569,0.49000822650305065
2,maml_hopfield_evid,0.6447191716549678,0.7846649756922427,0.5047733676176929,0.652067634909623,0.7920022139200222,0.512133055899224,0.6414190464714873,0.7757202881152462,0.5071178048277285,0.6399060562488847,0.7862562065541211,0.49355590594364845
3,maml_mlp,0.6176210197240242,0.7593003593320652,0.4759416801159832,0.6179429007653023,0.7634979936349799,0.47238780789562484,0.6224102401430966,0.7701380552220889,0.4746824250641044,0.6303188855770625,0.7797815292949354,0.48085624185918974
3,maml_static_gnn,0.6262340004187424,0.7719034030860282,0.48056459775145666,0.6227244181942966,0.7698906876989069,0.4755581486896862,0.6149900397542967,0.7495798319327732,0.4804002475758201,0.6193635924411753,0.7673485600794439,0.4713786248029067
3,maml_dense_gsl,0.665888951474956,0.8309025575988163,0.5008753453510956,0.674334395705553,0.8492873944928739,0.4993813969182319,0.6719938738854321,0.8418067226890756,0.5021810250817885,0.6867719430770104,0.8741608738828204,0.49938301227120035
3,maml_hopfield_nogating,0.680913653505443,0.8088142041851617,0.5530131028257241,0.6811345957265411,0.8130621281306213,0.5492070633224609,0.6854568028985888,0.8172869147659064,0.5536266910312713,0.6921235808107897,0.8432174776564051,0.5410296839651745
3,maml_hopfield_evid,0.6143420988740711,0.7230765165926865,0.5056076811554558,0.6184040838479566,0.7331949633319497,0.5036132043639636,0.6204265345502756,0.7354741896758703,0.505378879424681,0.6302041260637388,0.7672293942403177,0.4931788578871598
4,maml_mlp,0.6597711859469557,0.8137021771295708,0.5058401947643406,0.663516179306543,0.82385498823855,0.5031773703745361,0.6640207207289766,0.8171068427370948,0.5109345987208583,0.6593404685062927,0.815253227408143,0.5034277096044423
4,maml_static_gnn,0.6430401850801042,0.7792485732403297,0.5068317969198786,0.655510547856808,0.8022692680226926,0.5087518276909234,0.6641022042198352,0.8134603841536615,0.5147440242860091,0.6533037398660464,0.7935650446871897,0.513042435044903
4,maml_dense_gsl,0.6144663651647982,0.7303688437962376,0.4985638865333589,0.6101373933108695,0.7296803652968037,0.49059442132493525,0.6185837807373826,0.7411464585834334,0.49602110289133194,0.6365353187861837,0.7778351539225422,0.49523548364982517
4,maml_hopfield_nogating,0.624184973698385,0.7485203973789896,0.4998495500177804,0.6281379376087469,0.7518472395184723,0.5044286356990215,0.6320969722735391,0.7599939975990396,0.5041999469480386,0.6465716538695437,0.7874875868917577,0.5056557208473298
4,maml_hopfield_evid,0.6295205964843243,0.7708993870217713,0.48814180594687745,0.6292477030322983,0.7668465476684656,0.49164885839613093,0.6349393047914442,0.7778511404561826,0.49202746912670575,0.6416668031056205,0.7922542204568023,0.4910793857544389
0,maml_hopfield_two_stage,0.6247849421854437,0.745138448530966,0.5044314358399212,0.6295111495702213,0.7515428255154283,0.5074794736250141,0.6308680156609786,0.7445678271308522,0.517168204191105,0.6406024565547168,0.7644091360476664,0.5167957770617674
